City,Longitude,Latitude,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015
Tokyo,139.393288,35.675099,32.53,33.59,34.45,35.62,36.83,38
Delhi,81.334404,24.734319,9.73,12.41,15.73,18.67,21.94,25.7
Shanghai,121.483385,31.246027,7.82,10.45,13.96,16.76,19.98,23.74
São Paulo,-40.822269,-21.040337,14.78,15.91,17.01,18.29,19.66,21.07
Mumbai (Bombay),73.032263,19.021521,12.44,14.31,16.37,17.89,19.42,21.04
Ciudad de México (Mexico City),-99.150344,19.371422,15.64,17.02,18.46,19.28,20.13,21
Beijing,116.396636,40.253703,6.79,8.31,10.16,12.81,16.19,20.38
Kinki M.M.A. (Osaka),135.501902,34.671654,18.39,18.94,18.66,18.76,19.49,20.24
Al-Qahirah (Cairo),31.24967,30.06263,9.89,11.96,13.63,15.17,16.9,18.77
New York-Newark,-73.9708,40.68295,16.09,16.94,17.81,18.09,18.37,18.59
Dhaka,90.224784,23.838511,6.62,8.33,10.28,12.33,14.73,17.6
Karachi,67.01523,24.865645,7.15,8.47,10.03,11.89,14.08,16.62
Buenos Aires,-58.454595,-34.607357,10.51,11.39,12.41,13.33,14.25,15.18
Kolkata (Calcutta),88.362561,22.550437,10.89,11.92,13.06,13.7,14.28,14.86
Istanbul,28.94966,41.01384,6.55,7.67,8.74,10.51,12.7,14.16
